"date","country","country_code","ou_date_match","mobility_type","mobility_value"
2020-02-21,"Afghanistan","AFG","AFG_2020-02-21","retail_and_recreation",0
2020-02-21,"Afghanistan","AFG","AFG_2020-02-21","grocery_and_pharmacy",4.57142857142857
2020-02-21,"Afghanistan","AFG","AFG_2020-02-21","parks",1.42857142857143
2020-02-21,"Afghanistan","AFG","AFG_2020-02-21","transit_stations",5.28571428571429
2020-02-21,"Afghanistan","AFG","AFG_2020-02-21","workplaces",0.571428571428571
2020-02-21,"Afghanistan","AFG","AFG_2020-02-21","residential",0.714285714285714
2020-02-22,"Afghanistan","AFG","AFG_2020-02-22","retail_and_recreation",1.57142857142857
2020-02-22,"Afghanistan","AFG","AFG_2020-02-22","grocery_and_pharmacy",6.71428571428571
2020-02-22,"Afghanistan","AFG","AFG_2020-02-22","parks",2.28571428571429
2020-02-22,"Afghanistan","AFG","AFG_2020-02-22","transit_stations",6.57142857142857
2020-02-22,"Afghanistan","AFG","AFG_2020-02-22","workplaces",5.42857142857143
2020-02-22,"Afghanistan","AFG","AFG_2020-02-22","residential",0
2020-02-23,"Afghanistan","AFG","AFG_2020-02-23","retail_and_recreation",1.42857142857143
2020-02-23,"Afghanistan","AFG","AFG_2020-02-23","grocery_and_pharmacy",6
2020-02-23,"Afghanistan","AFG","AFG_2020-02-23","parks",2.42857142857143
2020-02-23,"Afghanistan","AFG","AFG_2020-02-23","transit_stations",6.14285714285714
2020-02-23,"Afghanistan","AFG","AFG_2020-02-23","workplaces",5.71428571428571
2020-02-23,"Afghanistan","AFG","AFG_2020-02-23","residential",0.142857142857143
2020-02-24,"Afghanistan","AFG","AFG_2020-02-24","retail_and_recreation",1
2020-02-24,"Afghanistan","AFG","AFG_2020-02-24","grocery_and_pharmacy",6.28571428571429
2020-02-24,"Afghanistan","AFG","AFG_2020-02-24","parks",2.71428571428571
2020-02-24,"Afghanistan","AFG","AFG_2020-02-24","transit_stations",6.14285714285714
2020-02-24,"Afghanistan","AFG","AFG_2020-02-24","workplaces",6
2020-02-24,"Afghanistan","AFG","AFG_2020-02-24","residential",0.285714285714286
2020-02-25,"Afghanistan","AFG","AFG_2020-02-25","retail_and_recreation",0.857142857142857
2020-02-25,"Afghanistan","AFG","AFG_2020-02-25","grocery_and_pharmacy",6.28571428571429
2020-02-25,"Afghanistan","AFG","AFG_2020-02-25","parks",2.42857142857143
2020-02-25,"Afghanistan","AFG","AFG_2020-02-25","transit_stations",6.14285714285714
2020-02-25,"Afghanistan","AFG","AFG_2020-02-25","workplaces",6.14285714285714
2020-02-25,"Afghanistan","AFG","AFG_2020-02-25","residential",0.428571428571429
2020-02-26,"Afghanistan","AFG","AFG_2020-02-26","retail_and_recreation",0.857142857142857
2020-02-26,"Afghanistan","AFG","AFG_2020-02-26","grocery_and_pharmacy",6.57142857142857
2020-02-26,"Afghanistan","AFG","AFG_2020-02-26","parks",2.57142857142857
2020-02-26,"Afghanistan","AFG","AFG_2020-02-26","transit_stations",6.57142857142857
2020-02-26,"Afghanistan","AFG","AFG_2020-02-26","workplaces",6.14285714285714
2020-02-26,"Afghanistan","AFG","AFG_2020-02-26","residential",0.428571428571429
2020-02-27,"Afghanistan","AFG","AFG_2020-02-27","retail_and_recreation",1
2020-02-27,"Afghanistan","AFG","AFG_2020-02-27","grocery_and_pharmacy",6.14285714285714
2020-02-27,"Afghanistan","AFG","AFG_2020-02-27","parks",2.85714285714286
2020-02-27,"Afghanistan","AFG","AFG_2020-02-27","transit_stations",6.42857142857143
2020-02-27,"Afghanistan","AFG","AFG_2020-02-27","workplaces",6.28571428571429
2020-02-27,"Afghanistan","AFG","AFG_2020-02-27","residential",0.571428571428571
2020-02-28,"Afghanistan","AFG","AFG_2020-02-28","retail_and_recreation",0.714285714285714
2020-02-28,"Afghanistan","AFG","AFG_2020-02-28","grocery_and_pharmacy",5.57142857142857
2020-02-28,"Afghanistan","AFG","AFG_2020-02-28","parks",2.42857142857143
2020-02-28,"Afghanistan","AFG","AFG_2020-02-28","transit_stations",6
2020-02-28,"Afghanistan","AFG","AFG_2020-02-28","workplaces",6.14285714285714
2020-02-28,"Afghanistan","AFG","AFG_2020-02-28","residential",0.857142857142857
2020-02-29,"Afghanistan","AFG","AFG_2020-02-29","retail_and_recreation",0.285714285714286
2020-02-29,"Afghanistan","AFG","AFG_2020-02-29","grocery_and_pharmacy",5
2020-02-29,"Afghanistan","AFG","AFG_2020-02-29","parks",1.57142857142857
2020-02-29,"Afghanistan","AFG","AFG_2020-02-29","transit_stations",5.57142857142857
2020-02-29,"Afghanistan","AFG","AFG_2020-02-29","workplaces",6.14285714285714
2020-02-29,"Afghanistan","AFG","AFG_2020-02-29","residential",1
2020-03-01,"Afghanistan","AFG","AFG_2020-03-01","retail_and_recreation",0.428571428571429
2020-03-01,"Afghanistan","AFG","AFG_2020-03-01","grocery_and_pharmacy",5.57142857142857
2020-03-01,"Afghanistan","AFG","AFG_2020-03-01","parks",1.57142857142857
2020-03-01,"Afghanistan","AFG","AFG_2020-03-01","transit_stations",6
2020-03-01,"Afghanistan","AFG","AFG_2020-03-01","workplaces",6.57142857142857
2020-03-01,"Afghanistan","AFG","AFG_2020-03-01","residential",0.857142857142857
2020-03-02,"Afghanistan","AFG","AFG_2020-03-02","retail_and_recreation",0.714285714285714
