"Variants","country_code","Verification","country_name","variant_file_date","variant_date"
"Beta (B.1.351)","VNM","Verified","Viet Nam",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","MLT","Unverified","Malta",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","HUN","Unverified","Hungary",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","GRC","Verified","Greece",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","COM","Verified","Comoros",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","PSE","Verified","occupied Palestinian territory, including east Jerusalem",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","PHL","Verified","Philippines",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","MAF","Verified","Saint Martin",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","KAZ","Unverified","Kazakhstan",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","LBY","Verified","Libya",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","UKR","Unverified","Ukraine",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","QAT","Verified","Qatar",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","GBR","Verified","The United Kingdom",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","FIN","Verified","Finland",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","AUS","Verified","Australia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","JPN","Verified","Japan",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","CHE","Verified","Switzerland",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","ZMB","Verified","Zambia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","FRA","Verified","France",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","KOR","Verified","Republic of Korea",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","SWE","Verified","Sweden",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","BWA","Verified","Botswana",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","NOR","Verified","Norway",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","AUT","Verified","Austria",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","CHN","Verified","China",2022-03-30,"Data as of 2022-03-29"
